1CagePosition,1Stance,1StrikeAbsorbed,1StrikeLanded,1TopCombo,2StrikeAbsorbed,2StrikeLanded,2TopCombo,3StrikeAbsorbed,3StrikeLanded,3TopCombo,BodyABS,BodyLocksPer25,BodyTargeting,ChinGrade,Company,DefensiveGrade,DoubleLegsPer25,FighterGrade,FightsTracked,GrapplingGrade,HeadABS,HeadTargeting,HighImpactDropPercent,HighImpactDroppedPercent,HighImpactStrikePercent,HighImpactStunPercent,HighImpactStunnedPercent,Image,KickLandRate,KickLandRateAV,KickPlusMinus,KickingGrade,KicksLPM,KicksTPM,KnockdownsPer25,KnockdownsPer25AV,LastFighterGrade,LeftBodyKick,LeftHandABS,LeftHandThrowPercent,LeftHiKick,LeftHookHiMake,LeftHookLoMake,LeftJabHiMake,LeftJabLoMake,LeftLegKick,LeftOverhandMake,LeftStraightHiMake,LeftStraightLoMake,LegABS,LegTargeting,LowImpactStrikePercent,MinutesTracked,OrthodoxOppBodyKicks,OrthodoxOppHeadKicks,OrthodoxOppHooks,OrthodoxOppJabs,OrthodoxOppLegKicks,OrthodoxOppOverhands,OrthodoxOppStraights,OrthodoxOppUppercuts,PunchLandRate,PunchLandRateAV,PunchPlusMinus,PunchesLPM,PunchesTPM,RecordAgainstOrthodox,RecordAgainstSouthpaw,RecordAgainstSwitch,RightBodyKick,RightHandABS,RightHandThrowPercent,RightHiKick,RightHookHiMake,RightHookLoMake,RightJabHiMake,RightJabLoMake,RightLegKick,RightOverhandMake,RightStraightHiMake,RightStraightLoMake,Round1Output,Round1StrikesLanded,Round2Output,Round2StrikesLanded,Round3Output,Round3StrikesLanded,Round4Output,Round4StrikesLanded,Round5Output,Round5StrikesLanded,RoundsTracked,SingleLegsPer25,SouthpawOppBodyKicks,SouthpawOppHeadKicks,SouthpawOppHooks,SouthpawOppJabs,SouthpawOppLegKicks,SouthpawOppOverhands,SouthpawOppStraights,SouthpawOppUppercuts,StrikeLandRate,StrikeLandRateAV,StrikePlusMinus,StrikesLPM,StrikesTPM,StrikingGrade,StunsPer25,StunsPer25AV,SubAttemptsPer25,SubAttemptsPer25AV,SwitchOppBodyKicks,SwitchOppHeadKicks,SwitchOppHooks,SwitchOppJabs,SwitchOppLegKicks,SwitchOppOverhands,SwitchOppStraights,SwitchOppUppercuts,TDDefense,TakedownRate,TakedownRateAV,ThrowsPer25,TimesBodyLocksPer25,TimesDoubleLegsPer25,TimesKnockedDownPer25,TimesKnockedDownPer25AV,TimesSingleLegsPer25,TimesStunnedPer25,TimesStunnedPer25AV,TimesThrowsPer25,TimesTripsPer25,TotalClinchStrikesToTheBody,TotalClinchStrikesToTheHead,TotalElbows,TotalGroundStrikesToTheBody,TotalGroundStrikesToTheHead,TripsPer25,_id,clinchPOSStrikes,draw,fer,fighterCode,fighterName,gender,grapplingGameplans,groundPOSStrikes,height,kickapm,loopingPunches,loopingPunchesAbs,loss,nickname,offensiveRating,origin,punchapm,reach,searchFights,standingPOSStrikes,straightPunches,straightPunchesAbs,strikeapm,strikingGameplans,weight,wins
Pressuring,Orthodox,Jabs,Left Jab to Head,LeftHookHi + RightStraightHi + LeftHookHi,Body Kicks,Right Straight to Head,No Data,Hooks,Right Leg Kick,No Data,0,0,9%,0,UFC,0,0,0,5,0,0,77%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3998248.png&w=350&h=254,55.3%,63.9%,-30,0,1.3,2.3,4.1,0.7,0,1.2%,0,61%,0.4%,8.5%,1.2%,33.7%,1.6%,0.4%,0.0%,0.4%,0.0%,0,14%,0,37,0,2,12,4,0,0,8,2,35.8%,33.4%,58,5.3,14.9,1-0,0-0,4-0,2.7%,0,39%,0.4%,12.0%,1.2%,0.4%,0.0%,13.2%,0.0%,15.1%,0.4%,50%,49.6%,34%,34.2%,16%,16.2%,0%,0.0%,0%,0.0%,10,0,0,0,0,0,0,0,0,0,39.8%,45.2%,28,7.1,17.8,0,2.7,0.7,0,1.1,20,2,106,180,70,0,74,6,100%,0%,,0,0,0,0,0.6,0,0,0.7,0,0,0.0%,0.0%,0.0%,0.0%,7.4%,0,6480bbaa59b391b3ca0a193f,0%,0,50,AdrianYanez,Adrian Yanez,Male,0,7%,"5'7""",2.1,31%,29%,4,,155.8,"Galveston, United States",3.7,70,https://www.fightstats.xyz/search?q=Adrian Yanez,93%,69%,71%,5.8,5,Bantamweight,16
Center Octagon,Orthodox,Leg Kicks,Right Leg Kick,No Data,Jabs,Left Jab to Head,No Data,Hooks,Left Leg Kick,No Data,0,0,13%,0,UFC,0,0,0,5,0,0,54%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-05/83daa74a-1eb6-427b-8e6e-530da5f9170c%252FRAKIC_ALEKSANDAR_05-14.png,53.0%,62.9%,-13,0,0.9,1.7,0.8,0.8,0,3.7%,0,62%,1.8%,4.6%,0.0%,11.5%,1.8%,6.9%,0.0%,0.5%,0.0%,0,33%,0,60,4,4,2,6,24,0,0,2,33.1%,41.0%,8,1.9,5.6,2-1,0-0,1-1,0.0%,0,38%,0.0%,5.0%,0.0%,0.5%,0.0%,11.9%,0.5%,2.8%,0.5%,33%,32.8%,42%,42.0%,25%,25.2%,0%,0.0%,0%,0.0%,13,1.2,0,0,0,0,0,0,0,0,45.4%,52.1%,-5,4.5,9.9,0,0.4,1,0.4,1.1,5,0,14,17,20,0,5,3,100%,25.0%,,0,0,0,0,0.9,0,0.4,1.1,0,0,1.4%,1.8%,0.0%,12.8%,32.1%,0,6480bbab59b391b3ca0a1940,3%,0,30,AleksandarRakicRocket,Aleksandar Rakić,Male,1,36%,"6'5""",1.1,37%,39%,3,Rocket,91.9,"Vienna, Austria",0.9,78,https://www.fightstats.xyz/search?q=Aleksandar Rakić,61%,63%,61%,2,4,Light Heavyweight,14
Center Octagon,Orthodox,Leg Kicks,Right Leg Kick,No Data,Hooks,Left Jab to Head,No Data,Jabs,Left Jab to Body,No Data,0,4.5,15%,0,UFC,0,0,0,3,0,0,46%,0,0,0,0,0,https://a.espncdn.com/i/headshots/mma/players/full/3417396.png,85.0%,63.9%,-10,0,1.5,1.8,0,0.7,0,0.0%,0,65%,0.0%,7.1%,0.0%,9.5%,9.5%,7.1%,0.0%,0.0%,0.0%,0,39%,0,11,1,0,4,8,16,0,5,0,41.4%,36.6%,1,2.2,5.3,0-3,0-0,0-0,2.4%,0,35%,0.0%,2.4%,0.0%,0.0%,0.0%,31.0%,0.0%,9.5%,2.4%,96%,96.2%,4%,3.8%,0%,0.0%,0%,0.0%,0%,0.0%,4,0,0,0,0,0,0,0,0,0,56.3%,47.7%,-9,4.5,7.9,0,0,1,2.3,1,0,0,0,0,0,0,0,0,100%,100.0%,,0,0,0,4.5,0.6,0,0,1,0,0,0.0%,16.7%,0.0%,0.0%,2.4%,0,6480bbab59b391b3ca0a1941,14%,1,34.4,AlexOliveiraCowboy,Alex Oliveira,Male,0,2%,"5'11""",2.5,24%,60%,12,Cowboy,107.4,"Brasilerio, Brazil",1.5,76,https://www.fightstats.xyz/search?q=Alex Oliveira,84%,76%,40%,3.9,3,Welterweight,22
Center Octagon,Orthodox,Jabs,Right Leg Kick,LeftJabHi + RightStraightHi + LeftJabLo,Leg Kicks,Left Jab to Head,LeftHookHi + RightHookHi + LeftHookHi,Hooks,Left Hook to Head,LeftJabHi + LeftHookHi + RightHookLo,0,0,27%,0,UFC,0,0.5,0,5,0,0,53%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4705658.png,71.2%,63.0%,27,0,1.9,2.6,1.4,0.7,0,1.9%,0,61%,0.8%,8.8%,2.7%,12.3%,4.4%,6.8%,0.0%,0.0%,0.0%,0,21%,0,53,3,0,1,14,10,0,3,0,68.6%,41.4%,49,4.9,7.2,2-0,0-0,2-1,3.6%,0,39%,0.3%,6.0%,0.8%,0.5%,0.0%,13.7%,0.0%,7.9%,1.1%,34%,34.1%,30%,30.3%,23%,23.4%,6%,5.8%,6%,6.5%,13,0.5,0,0,0,0,0,0,0,0,74.1%,51.2%,76,8.7,11.7,0,1.9,0.7,0,1.2,7,2,26,28,58,0,8,2,79%,75.0%,,0,0.9,0.9,0.5,0.7,0.5,0.5,0.7,0,0,12.3%,10.7%,1.1%,2.2%,1.9%,0.5,6480bbac59b391b3ca0a1942,18%,0,59.4,AlexPereiraPoatan,Alex Pereira,Male,0,3%,"6'4""",1.4,41%,33%,2,Poatan,182,"São Bernardo Do Campo, Brazil",2.4,79,https://www.fightstats.xyz/search?q=Alex Pereira,78%,59%,67%,3.8,5,Middleweight,7
Center Octagon,Switch,Jabs,Left Jab to Head,No Data,Hooks,Right Straight to Head,No Data,Crosses,Left Hook to Head,No Data,0,0.2,10%,0,UFC,0,0,0,7,0,0,77%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-10/GRASSO_ALEXA_10-15.png,60.6%,62.2%,58,0,1,1.7,0,0.3,0,2.9%,0,57%,0.3%,7.7%,0.6%,22.7%,0.8%,6.5%,0.2%,1.4%,0.0%,0,13%,0,107,8,2,52,90,35,1,77,2,41.0%,39.2%,133,4.3,10.4,3-1,1-0,2-0,1.7%,0,43%,0.2%,5.1%,0.0%,2.1%,0.2%,5.0%,0.5%,16.3%,0.6%,35%,34.6%,28%,27.9%,29%,29.4%,5%,4.5%,4%,3.6%,22,0.5,0,0,1,13,13,0,9,1,48.2%,52.5%,191,6.9,14.2,0,2.1,0.7,2.8,1.3,22,1,36,67,28,3,35,0,84%,60.0%,,0,0,2.1,0,0.4,0.9,0,0.6,0.2,0.5,2.0%,8.5%,0.5%,4.8%,9.8%,0,6480bbac59b391b3ca0a1943,9%,0,48.4,AlexaGrasso,Alexa Grasso,Female,2,13%,"5'5""",0.5,24%,29%,3,,148,"Guadalajara, Mexico",2.4,66,https://www.fightstats.xyz/search?q=Alexa Grasso,77%,76%,71%,2.9,5,Womens Flyweight,16
Center Octagon,Switch,Hooks,Left Jab to Head,No Data,Leg Kicks,Right Uppercut to Head,No Data,Jabs,Left Hook to Head,No Data,0,0,18%,0,UFC,0,0,0,3,0,0,73%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-07/GUSTAFSSON_ALEXANDER_07-23.png,65.8%,62.9%,-11,0,0.7,1,2,0.8,0,1.9%,0,57%,0.0%,12.3%,0.0%,21.3%,3.2%,3.2%,0.0%,5.2%,0.6%,0,8%,0,38,0,0,0,0,0,0,0,0,46.4%,41.0%,52,3.9,8.3,0-1,0-0,0-1,5.8%,0,43%,0.0%,5.2%,2.6%,0.6%,0.6%,5.2%,0.0%,8.4%,0.0%,24%,23.5%,27%,27.3%,22%,22.5%,22%,21.9%,5%,4.8%,9,0,0,0,0,0,0,0,0,0,51.6%,52.1%,41,5.4,10.4,0,6.6,1,0,1.1,0,0,0,0,0,0,0,0,86%,0.0%,,0,0.7,0.7,1.3,0.9,0,0.7,1.1,0,0,3.2%,3.2%,2.6%,1.3%,13.5%,0,6480bbac59b391b3ca0a1944,5%,0,35,AlexanderGustafssonThe Mauler,Alexander Gustafsson,Male,0,11%,"6'4""",0.9,33%,54%,8,The Mauler,107.5,"Arboga, Sweden",1.7,79,https://www.fightstats.xyz/search?q=Alexander Gustafsson,84%,67%,46%,2.6,3,Light Heavyweight,18
Center Octagon,Orthodox,Jabs,Left Leg Kick,RightHookHi + LeftHookHi + RightHookHi,Hooks,Left Jab to Head,RightHookLo + LeftHookHi + LeftJabHi,Leg Kicks,Right Hook to Head,No Data,0,0.2,9%,0,UFC,0,0.2,0,7,0,0,58%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-09/67233%252Fprofile-galery%252Fprofile-picture%252FVOLKANOVSKI_ALEXANDER_BELT_09-25.png?itok=7nsgFV4e,71.6%,66.0%,135,0,1.4,2,0.5,0.7,0,1.9%,0,65%,0.1%,8.4%,1.1%,20.3%,0.3%,20.4%,0.1%,0.1%,0.0%,0,33%,0,155,0,0,0,0,0,0,0,0,43.0%,41.7%,155,2.4,5.6,2-0,1-1,1-0,0.8%,0,35%,0.1%,9.3%,2.0%,0.1%,0.0%,6.6%,0.7%,3.0%,0.9%,14%,14.4%,19%,18.8%,26%,26.1%,20%,20.1%,21%,20.7%,32,0,0,0,0,0,0,0,0,0,55.4%,52.9%,290,4.9,8.9,0,0.6,1.1,0,1.2,0,0,0,0,0,0,0,0,82%,16.7%,,0,0.5,0.3,0.5,0.6,0.2,0.5,1.1,0,0.2,0.0%,3.2%,0.8%,2.2%,17.3%,0.2,6480bbad59b391b3ca0a1945,3%,0,34.9,AlexanderVolkanovskiThe Great,Alexander Volkanovski,Male,0,19%,"5'6""",0.6,47%,33%,2,The Great,106.4,"Shellharbour, Australia",1.2,71,https://www.fightstats.xyz/search?q=Alexander Volkanovski,78%,53%,67%,1.8,5,Lightweight,25
Moving Backwards,Orthodox,Jabs,Left Leg Kick,RightBodyKick + RightStraightHi + LeftJabHi + LeftLegKick,Leg Kicks,Left Jab to Head,RightHookLo + LeftHookHi + RightHookHi + LeftJabHi + LeftJabHi,Crosses,Right Body Kick,No Data,0,0,22%,0,UFC,0,0.5,0,3,0,0,48%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2993650.png,73.0%,72.4%,22,0,1.6,2.1,0.5,0.7,0,4.0%,0,57%,0.4%,3.1%,0.4%,17.4%,1.8%,19.6%,0.0%,0.0%,0.0%,0,30%,0,52,3,0,3,3,6,0,3,2,35.9%,41.8%,-32,1.8,5,1-0,0-0,0-1,8.5%,0,43%,0.0%,3.6%,0.9%,0.4%,0.0%,3.6%,0.0%,7.6%,0.9%,21%,20.8%,14%,14.2%,15%,15.4%,24%,23.8%,26%,25.8%,11,0,0,0,0,0,0,0,0,0,51.8%,54.8%,-10,4.5,8.8,0,1,1,1.4,0.7,21,0,15,26,44,0,15,5,72%,100.0%,,0,1.9,1,0,0.8,1.4,1,1,0,1.9,0.9%,0.0%,0.0%,0.0%,26.8%,0.5,6480bbad59b391b3ca0a1946,1%,0,32.2,AlexanderVolkovDrago,Alexander Volkov,Male,0,25%,"6'7""",1.1,22%,21%,10,Drago,100.3,"Moscow, Russia",2.4,80,https://www.fightstats.xyz/search?q=Alexander Volkov,74%,78%,79%,3.5,3,Heavyweight,36
Ground-Bottom,Orthodox,Jabs,Right Leg Kick,No Data,Hooks,Left Jab to Head,No Data,Crosses,Right Hook to Head,No Data,0,0,10%,0,UFC,0,0,0,2,0,0,60%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-04/9ab3414a-70b9-495f-bc6f-0e74e3163fda%252FOLEINIK_ALEKSEI_03-26.png,75.0%,72.4%,12,0,0.6,0.8,0,0.7,0,0.0%,0,50%,0.0%,2.9%,0.0%,12.9%,2.9%,1.4%,0.0%,0.0%,0.0%,0,30%,0,20,0,0,0,0,0,0,0,0,27.3%,41.8%,-15,1.4,5,0-2,0-0,0-0,0.0%,0,50%,0.0%,8.6%,1.4%,0.0%,0.0%,15.7%,4.3%,2.9%,1.4%,27%,27.1%,19%,18.6%,54%,54.3%,0%,0.0%,0%,0.0%,5,1.2,0,0,0,0,0,0,0,0,46.1%,54.8%,-3,3.5,7.6,0,0,1,2.5,0.7,0,0,0,0,0,0,0,0,0%,33.3%,,0,0,0,1.2,0.8,0,0,1,1.2,0,0.0%,1.4%,1.4%,4.3%,38.6%,0,6480bbae59b391b3ca0a1947,1%,0,25,AlexeyOleynikThe Boa Constrictor,Alexey Oleynik,Male,2,43%,"6'2""",0,46%,37%,0,The Boa Constrictor,77.1,,2,,https://www.fightstats.xyz/search?q=Alexey Oleynik,56%,54%,63%,2,0,Heavyweight,0
Moving Backwards,Switch,Leg Kicks,Right Leg Kick,RightBodyKick + RightJabHi + RightJabHi,Crosses,Right Jab to Head,No Data,Hooks,Right Body Kick,No Data,0,0,34%,0,UFC,0,1.9,0,5,0,0,44%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-10/STERLING_ALJAMAIN_BELT_10-22.png,59.0%,63.9%,17,0,1.2,2.1,0,0.7,0,5.6%,0,38%,0.0%,1.8%,1.5%,1.8%,1.0%,2.3%,0.0%,1.0%,0.3%,0,22%,0,78,0,0,0,0,0,0,0,0,29.5%,33.4%,5,1.3,4.5,1-0,0-0,4-0,6.6%,0,62%,0.5%,1.3%,1.0%,7.9%,0.0%,9.2%,0.0%,1.5%,0.0%,33%,33.3%,33%,32.7%,15%,15.2%,13%,13.2%,6%,5.5%,17,0.6,0,0,0,0,0,0,0,0,54.8%,45.2%,22,5.3,9.7,0,0,0.7,1.6,1.1,0,0,0,0,0,0,0,0,74%,16.1%,,0,0.6,0,0.3,0.6,0.3,0,0.7,0,2.2,1.0%,4.1%,1.8%,6.9%,43.0%,1.9,6480bbae59b391b3ca0a1948,5%,0,43.7,AljamainSterlingFunk Master,Aljamain Sterling,Male,4,47%,"5'7""",1,29%,31%,3,Funk Master,133,United States,1,71,https://www.fightstats.xyz/search?q=Aljamain Sterling,48%,71%,69%,2,1,Bantamweight,23
Center Octagon,Orthodox,Jabs,Left Jab to Head,LeftJabHi + RightStraightHi + LeftJabHi + RightHookHi,Leg Kicks,Right Straight to Head,LeftJabHi + RightStraightHi + LeftJabHi,Hooks,Right Hook to Head,No Data,0,1,8%,0,UFC,0,1,0,8,0,0,81%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-08/67283%252Fprofile-galery%252Fprofile-picture%252FMENIFIELD_ALONZO_08-07.png?itok=Vb_Rm-rm,90.5%,62.9%,-9,0,0.4,0.4,1.5,0.8,0,0.0%,0,58%,0.0%,7.6%,0.0%,22.3%,1.3%,1.3%,0.0%,0.4%,0.0%,0,12%,0,51,0,0,19,29,4,2,14,0,50.6%,41.0%,75,2.7,5.3,3-1,2-0,1-0,0.4%,0,42%,0.0%,9.8%,0.9%,0.0%,0.0%,6.7%,0.9%,9.8%,0.0%,60%,59.8%,28%,27.5%,13%,12.7%,0%,0.0%,0%,0.0%,13,0.5,0,0,3,0,0,0,2,1,62.9%,52.1%,66,4.7,7.5,0,1.5,1,1,1.1,1,0,19,24,14,0,7,3,90%,70.0%,,0,0.5,0,0.5,0.9,0.5,1,1.1,0,0,2.7%,3.6%,0.0%,0.0%,32.1%,1,6480bbae59b391b3ca0a1949,6%,1,32.4,AlonzoMenifieldAtomic,Alonzo Menifield,Male,3,30%,"6'0""",0.5,36%,32%,3,Atomic,98.6,"Los Angeles, United States",0.9,76,https://www.fightstats.xyz/search?q=Alonzo Menifield,64%,64%,68%,1.5,4,Light Heavyweight,13
Ground-Bottom,Orthodox,Leg Kicks,Left Jab to Head,LeftJabHi + RightStraightHi + LeftHookHi,Jabs,Right Straight to Head,LeftHookHi + LeftLegKick + RightStraightLo,Hooks,Right Body Kick,LeftLegKick + LeftJabHi + LeftJabHi + RightHookHi,0,0,16%,0,UFC,0,0,0,7,0,0,68%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-07/SMITH_ANTHONY_07-30.png,62.2%,62.9%,-45,0,0.6,1,0.3,0.8,0,1.5%,0,59%,1.0%,8.0%,0.0%,24.6%,0.0%,5.5%,0.5%,0.5%,0.0%,0,16%,0,81,18,1,27,43,17,2,22,2,35.3%,41.0%,24,1.5,4.2,3-2,0-0,0-2,9.0%,0,41%,0.0%,8.0%,0.5%,0.0%,0.0%,8.5%,1.0%,12.6%,1.0%,56%,55.8%,30%,30.2%,5%,5.1%,4%,4.2%,5%,4.7%,18,0,0,0,0,0,0,0,0,0,42.1%,52.1%,-21,2.5,6,0,0.3,1,1.9,1.1,3,1,4,5,9,0,4,1,70%,0.0%,,0,0.6,0.9,0.9,0.9,0.3,1.5,1.1,0,0.3,1.0%,1.5%,1.5%,3.0%,10.6%,0,6480bbaf59b391b3ca0a194a,2%,0,18.5,AnthonySmithLionheart,Anthony Smith,Male,1,13%,"6'4""",1.2,32%,40%,17,Lionheart,58,"Corpus Christi, United States",1.1,76,https://www.fightstats.xyz/search?q=Anthony Smith,84%,68%,60%,2.3,6,Light Heavyweight,36
Center Octagon,Orthodox,Jabs,Left Jab to Head,No Data,Crosses,Right Body Kick,No Data,Hooks,Left Body Kick,No Data,0,1.2,52%,0,UFC,0,0,0,2,0,0,36%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-06/e6af5206-7574-4db7-aaf4-c3b46afec1f6%252FTSARUKYAN_ARMAN_06-25.png,55.1%,66.0%,36,0,1.1,1.9,0,0.7,0,8.5%,0,53%,0.0%,1.4%,0.0%,12.1%,0.0%,2.8%,0.0%,0.0%,0.0%,0,12%,0,40,0,0,0,0,0,0,0,0,30.2%,41.7%,-7,2.2,7.2,0-0,0-1,0-1,8.5%,0,47%,2.1%,3.5%,0.0%,0.7%,0.0%,8.5%,0.7%,5.0%,1.4%,22%,22.4%,38%,37.8%,19%,19.2%,9%,9.0%,12%,11.5%,8,0.6,0,1,3,2,1,1,1,0,44.2%,52.9%,29,4.7,10.7,0,1.2,1.1,0.6,1.2,24,2,4,16,15,0,8,1,63%,10.7%,,0,4.4,1.2,0,0.6,1.2,0.6,1.1,0,1.2,30.5%,5.0%,2.8%,1.4%,5.0%,0,6480bbb059b391b3ca0a194b,26%,0,29.2,ArmanTsarukyanAhalkalakets,Arman Tsarukyan,Male,1,5%,"5'7""",0.2,23%,14%,3,Ahalkalakets,88.9,Georgia,1.1,72,https://www.fightstats.xyz/search?q=Arman Tsarukyan,69%,77%,86%,1.2,1,Lightweight,19
Center Octagon,Southpaw,Jabs,Right Jab to Head,LeftHookHi + RightHookHi + LeftHookHi,Leg Kicks,Left Straight to Head,LeftHookHi + RightHookHi + LeftHookHi + RightHookHi,Crosses,Left Hook to Head,No Data,0,0.3,13%,0,UFC,0,0.8,0,7,0,0,75%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3902098.png,42.9%,57.5%,-23,0,0.8,1.8,0.5,0.5,0,2.1%,0,57%,1.8%,15.8%,2.1%,1.1%,0.0%,2.4%,1.6%,19.2%,2.1%,0,11%,0,91,9,4,72,39,37,8,41,14,39.5%,39.7%,127,3.4,8.6,4-0,0-0,2-1,2.4%,0,43%,0.3%,7.1%,0.3%,22.9%,2.1%,9.2%,0.8%,0.0%,0.0%,44%,44.5%,31%,30.8%,18%,17.5%,3%,2.6%,5%,4.6%,20,0,0,0,0,0,0,0,0,0,40.9%,47.4%,104,4.3,10.6,0,1.9,0.7,0.5,1.2,8,4,24,60,7,1,40,3,98%,70.0%,,0,0,0,0.3,0.5,0,0.3,0.6,0,0.3,0.8%,0.8%,2.4%,0.0%,2.9%,0.8,6480bbb059b391b3ca0a194c,2%,0,32.2,ArnoldAllenAlmighty,Arnold Allen,Male,0,3%,"5'9""",1,37%,27%,2,Almighty,99.7,"Ipswich, United Kingdom",1.9,70,https://www.fightstats.xyz/search?q=Arnold Allen,96%,63%,73%,2.9,7,Featherweight,19
Center Octagon,Switch,Jabs,Left Jab to Head,No Data,Hooks,Right Hook to Head,No Data,Leg Kicks,Right Straight to Head,No Data,0,0.4,15%,0,UFC,0,1.4,0,10,0,0,80%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-04/05add092-bc54-41ce-ad46-94f37fb840d6%252FMUHAMMAD_BELAL_04-16.png,45.2%,63.9%,-40,0,0.4,0.9,0,0.7,0,3.2%,0,60%,0.3%,6.3%,0.3%,20.7%,0.2%,1.5%,0.2%,2.3%,0.2%,0,5%,0,140,0,0,0,0,0,0,0,0,26.7%,36.6%,65,2.8,10.4,3-0,2-1,3-0,1.1%,0,40%,0.3%,6.9%,3.4%,0.5%,0.0%,2.1%,1.4%,6.3%,0.2%,35%,35.5%,34%,34.3%,26%,25.6%,3%,2.6%,2%,2.1%,30,1.6,0,0,0,0,0,0,0,0,34.9%,47.7%,25,5.1,14.7,0,1.1,1,1.1,1,0,0,0,0,0,0,0,0,99%,37.0%,,0,0,0.2,0.5,0.6,0,0.9,1,0,0.2,1.1%,6.7%,1.1%,2.9%,31.1%,1.4,6480bbb159b391b3ca0a194d,7%,0,37.5,BelalMuhammadRemember the Name,Belal Muhammad,Male,6,31%,"5'10""",0.7,38%,31%,3,Remember the Name,115.3,"Chicago, United States",1.9,72,https://www.fightstats.xyz/search?q=Belal Muhammad,62%,62%,69%,2.6,4,Welterweight,23
Ground-Top,Southpaw,Jabs,Left Straight to Head,LeftHookHi + RightJabHi + LeftHookHi,Hooks,Right Jab to Head,LeftStraightHi + RightJabHi + LeftStraightHi,Crosses,Left Leg Kick,No Data,0,0.6,13%,0,UFC,0,2.4,0,4,0,0,69%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2023-02/DARIUSH_BENEIL_10-22.png,56.0%,66.0%,16,0,0.7,1.2,0.6,0.7,0,6.3%,0,51%,1.3%,0.0%,0.0%,0.0%,0.0%,10.1%,1.3%,13.2%,0.6%,0,19%,0,41,3,1,3,10,5,1,8,1,31.5%,41.7%,12,1.4,4.3,2-0,0-0,2-0,0.0%,0,49%,0.0%,3.1%,0.0%,11.9%,0.0%,0.0%,0.0%,0.6%,0.0%,46%,46.1%,39%,38.9%,15%,15.0%,0%,0.0%,0%,0.0%,9,1.2,0,0,0,0,0,0,0,0,48.0%,52.9%,28,4,8.3,0,0,1.1,4.3,1.2,7,1,2,9,11,1,15,1,90%,64.7%,,0,0,0,0.6,0.6,1.8,0.6,1.1,0,0,0.0%,3.1%,1.3%,4.4%,42.8%,2.4,6480bbb259b391b3ca0a194e,3%,1,32,BeneilDariushBenny,Beneil Dariush,Male,1,46%,"5'10""",0.3,14%,34%,4,Benny,97.4,Iran,1,72,https://www.fightstats.xyz/search?q=Beneil Dariush,51%,86%,66%,1.2,3,Lightweight,22
Moving Backwards,Switch,Hooks,Left Straight to Head,LeftJabHi + RightStraightHi + LeftJabHi,Leg Kicks,Left Jab to Head,RightBodyKick + LeftHookHi + LeftStraightHi,Body Kicks,Right Jab to Head,No Data,0,0,22%,0,UFC,0,0,0,4,0,0,68%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2502364.png,58.9%,66.0%,-30,0,1.5,2.5,0,0.7,0,0.5%,0,55%,0.0%,4.9%,0.0%,14.2%,1.5%,0.0%,0.0%,17.2%,2.0%,0,10%,0,29,2,0,3,4,4,0,2,0,40.5%,41.7%,86,5.2,12.9,0-0,0-2,0-1,11.3%,0,45%,0.0%,8.8%,0.5%,12.3%,4.9%,9.3%,1.0%,5.9%,0.5%,42%,42.5%,30%,29.6%,28%,27.9%,0%,0.0%,0%,0.0%,7,0,13,0,10,17,3,2,19,0,44.6%,52.9%,56,7,15.8,0,0.9,1.1,0,1.2,9,0,16,46,12,0,31,2,78%,0.0%,,0,0,0.9,0.9,0.6,0,0.9,1.1,0,0,0.0%,0.0%,1.0%,0.0%,4.4%,0,6480bbb259b391b3ca0a194f,0%,1,54.8,BobbyGreenKing,Bobby Green,Male,1,4%,"5'10""",2.5,21%,60%,14,King,169.1,"San Bernardino, United States",2.3,71,https://www.fightstats.xyz/search?q=Bobby Green,96%,79%,40%,4.8,3,Lightweight,29
